permit_date,permit_type,city,county,construction_cost,sqft,pitch_angle
2026-01-27,New,Holmdel,MONMOUTH,10804000,97200,"Holmdel homeowner, with a recent $10,804,000 construction permit, consider adding mortgage protection and whole life insurance to secure your family's future. Contact me to review options."
2026-01-27,New,Howell,MONMOUTH,2606500,17280,"With a new $2.6M home renovation project, consider mortgage protection and whole life insurance from NYL to secure your financial future. Protect what you've built."
2026-01-27,New,Fair Haven,MONMOUTH,679100,4431,Targeted mortgage protection and comprehensive life insurance alongside our Whole Life options can safeguard your family's financial future as you invest in your new home in Fair Haven.
2026-01-27,Alteration,Holmdel,MONMOUTH,600000,0,"Targeted mortgage protection and comprehensive life insurance from New York Life can secure your family's future. Consider our Whole Life policy for lasting financial security, paired with Term covera"
2026-01-28,New,Manalapan,MONMOUTH,577000,2582,"Targeted mortgage protection and life insurance from NYL can secure your family's future if the unthinkable happens. Pair that with a whole life policy for long-term financial stability, protecting yo"
2026-01-28,New,Manalapan,MONMOUTH,577000,2582,"Targeted mortgage protection and comprehensive life insurance, including whole life options from New York Life, can safeguard your family's financial future if the unexpected happens. Protect your hom"
2026-01-28,New,Manalapan,MONMOUTH,577000,2597,"New homeowner in Manalapan NJ, with a recent $577,000 home improvement project, consider adding mortgage protection and term life insurance to safeguard your investment, or explore Whole Life for long"
2026-01-28,New,Manalapan,MONMOUTH,577000,2582,"New homeowner in Manalapan NJ, consider protecting your $577,000 home with a mortgage insurance policy and a whole life insurance plan from New York Life. Contact me to discuss options today."
2026-01-28,New,Manalapan,MONMOUTH,577000,2597,Targeted mortgage protection and whole life insurance can safeguard your family's financial future if the worst happens. Protect your home and savings with New York Life's robust solutions.
2026-01-28,New,Manalapan,MONMOUTH,577000,2582,"Targeted mortgage protection and life insurance coverage up to $600,000, plus whole life options for wealth preservation, are essential for your new home in Manalapan NJ. Let's discuss how we can prot"
2026-01-30,Alteration,Brielle,MONMOUTH,366000,1036,"Brielle homeowner, securing your family's financial future with mortgage protection and whole life insurance from New York Life ensures you have the coverage needed if the unexpected happens."
2026-01-29,New,Wall Twp,MONMOUTH,346340,4454,"New homeowner in Wall Twp NJ, with a recent $346,340 home improvement project, consider mortgage protection and life insurance to safeguard your investment, or explore whole life for long-term financi"
2026-01-29,Demolition,Oceanport,MONMOUTH,300001,0,"Given your recent home improvement project and demolition permit, consider adding mortgage protection and life insurance to secure your family's financial future. Whole life insurance from New York Li"
2026-01-30,Demolition,Oceanport,MONMOUTH,300000,0,"Targeted demolition project suggests potential for increased income or investment opportunities. Protect your family with a $300,000 mortgage protection policy and consider Whole Life Insurance from N"
2026-01-30,Demolition,Oceanport,MONMOUTH,300000,0,"With a recent demolition permit for $300,000, consider adding mortgage protection and whole life insurance to secure your family's future in Oceanport NJ. Protect what you've built with New York Life'"
2026-01-30,Demolition,Oceanport,MONMOUTH,300000,0,"Targeted mortgage protection and comprehensive life insurance planning can safeguard your family's future. With a $300,000 demolition project in Oceanport NJ, consider Whole Life Insurance from New Yo"
2026-01-29,Demolition,Oceanport,MONMOUTH,300000,0,"Given your recent demolition work and the value of your property, consider protecting it with a mortgage protection policy, a term life insurance to cover debts if something unexpected happens, and a "
2026-01-30,Demolition,Oceanport,MONMOUTH,300000,0,"Given your recent demolition permit for a $300K project, consider protecting your investment with mortgage protection and life insurance from New York Life. Whole life can also grow alongside your ass"
2026-01-30,Demolition,Oceanport,MONMOUTH,300000,0,Targeted mortgage protection and whole life insurance from New York Life can provide financial security for your family after a tragedy. Protect your home and loved ones with our comprehensive solutio
2026-01-29,Demolition,Oceanport,MONMOUTH,300000,0,"Given your recent demolition permit for a $300,000 project in Oceanport, NJ, it's crucial to protect what you've invested. Consider our mortgage protection term life insurance and whole life policies "
2026-01-30,Demolition,Oceanport,MONMOUTH,300000,0,"Targeted demolition project? Consider our mortgage protection and term life insurance to secure your family's future, alongside a flexible whole life policy for long-term growth. Contact us to discuss"
2026-01-30,Demolition,Oceanport,MONMOUTH,300000,0,"With a $300,000 demolition project underway, securing mortgage protection and life insurance ensures your family's financial future. Consider Whole Life from New York Life to build long-term value whi"
2026-01-30,Demolition,Oceanport,MONMOUTH,300000,0,"With a recent demolition project and potential for new construction, consider adding mortgage protection and life insurance to safeguard your finances. Whole life insurance can also provide long-term "
2026-01-30,Demolition,Oceanport,MONMOUTH,300000,0,Targeted mortgage protection and comprehensive life insurance can safeguard your family's financial future. Pair that with Whole Life Insurance from New York Life for long-term growth. Contact us to d
2026-01-30,New,Holmdel,MONMOUTH,280100,816,"Targeted mortgage protection and life insurance can secure your family's financial future. With a $280,100 home improvement project, consider Whole Life Insurance from New York Life for comprehensive "
2026-01-28,New,Manalapan,MONMOUTH,277826,3107,"Leverage your new home investment with mortgage protection and comprehensive life insurance from New York Life, including Whole Life options that grow your wealth over time. Protect what you've built "
2026-01-28,New,Manalapan,MONMOUTH,270826,3107,Targeted mortgage protection and whole life insurance can safeguard your home investment. Protect your family's future with NYL solutions tailored for homeowners in Manalapan NJ.
2026-01-28,New,Manalapan,MONMOUTH,270826,3107,Targeted mortgage protection and whole life insurance can safeguard your family's future while leveraging your recent home improvement investment. Protect your new assets with NYL's solutions.
2026-01-28,New,Manalapan,MONMOUTH,270826,3107,"Protect your family's future with mortgage protection and whole life insurance from New York Life. Secure a policy that matches your home value ($270,826) for comprehensive coverage. Schedule a call t"
2026-01-28,New,Manalapan,MONMOUTH,270826,3107,"Targeted mortgage protection and whole life insurance can provide financial security for your home in Manalapan, NJ, covering a claim of $270,826 from a new construction permit. Protect what you've bu"
2026-01-30,New,Manalapan,MONMOUTH,235000,3887,Targeted mortgage protection and whole life insurance from NYL can secure your family's future after a tragedy. Protect your home and finances with our term and permanent solutions. Schedule an appoin
2026-01-27,Addition,Holmdel,MONMOUTH,235000,5082,"Given your recent home improvement project, consider adding mortgage protection and a Whole Life policy from New York Life to secure your family's future. Protection for your $235,000 addition is cruc"
2026-01-30,Alteration,Manalapan,MONMOUTH,200000,0,"New homeowner in Manalapan NJ, consider mortgage protection and life insurance from New York Life to secure your family's future. Whole life insurance can also grow over time for additional financial "
2026-01-30,Alteration,Manalapan,MONMOUTH,200000,0,"With a recent home improvement project valued at $200,000, mortgage protection and comprehensive life insurance solutions from New York Life can help protect your investment. Whole life insurance offe"
2026-01-30,Alteration,Manalapan,MONMOUTH,200000,0,"Given your recent home improvement project and the value of your property, consider protecting what you've invested in with Mortgage Protection Life Insurance, a Whole Life policy for long-term securi"
2026-01-29,Alteration,Little Silver,MONMOUTH,165500,0,"Given your recent home improvements and the value added to your property with the $165,500 alteration, consider securing mortgage protection and comprehensive life insurance, including Whole Life from"
2026-01-30,Addition,Manasquan,MONMOUTH,164500,410,"New Jersey homeowner, with a recent addition project valued at $164,500, consider adding mortgage protection and life insurance to secure your family's future, plus explore Whole Life for long-term fi"
2026-01-29,Alteration,Manalapan,MONMOUTH,153000,0,"Given your recent home improvements and the value added to your property with a $153,000 alteration, consider protecting it with Mortgage Protection Insurance from New York Life, ensuring your family "
2026-01-30,Alteration,Manalapan,MONMOUTH,150000,0,Targeted mortgage and life insurance protection with our term and whole life options from New York Life can help secure your family's future after a major home improvement project.
2026-01-30,Alteration,Manalapan,MONMOUTH,150000,0,"With a home improvement project underway, consider adding mortgage protection and whole life insurance from New York Life to secure your family's future if the unexpected happens."
2026-01-27,Alteration,Wall Twp,MONMOUTH,131226,0,Targeted mortgage protection and whole life insurance from New York Life can safeguard your family's future and ensure your home is protected in case of the unexpected. Protect what you've built with 
2026-01-27,Alteration,Wall Twp,MONMOUTH,131226,0,"Given your recent home improvement project and the value of your property, consider protecting it with mortgage protection term life insurance, a whole life policy for long-term savings, or our VUL pr"
2026-01-30,Alteration,Holmdel,MONMOUTH,121400,0,Holmdel homeowner: Protect your family with mortgage protection and life insurance from New York Life. Consider our whole life policy for long-term financial security.
2026-01-27,Alteration,Wall Twp,MONMOUTH,112945,0,"Review your current insurance to ensure adequate coverage for your mortgage if something were to happen to you. Consider term life for the next 30 years at a low rate, Whole Life for long-term growth,"
2026-01-28,Alteration,Atlantic Highlands,MONMOUTH,109000,612,Securing your home is just the start—protect it with a mortgage rider on your life insurance or a Whole Life policy from New York Life to cover your mortgage if the worst happens.
2026-01-30,Alteration,Marlboro,MONMOUTH,92900,0,"Marlboro homeowner, protecting your home and family with mortgage protection and whole life insurance from New York Life ensures you're covered for unexpected events. Protect what matters most."
2026-01-29,Alteration,Howell,MONMOUTH,90500,0,"Targeted mortgage and life insurance solutions can protect your family's financial future if the unexpected happens while you're building equity in your new home. Consider a $90,500 term life policy o"
2026-01-30,Alteration,Manalapan,MONMOUTH,88000,0,"With a recent home improvement project, consider mortgage protection and life insurance to secure your family's financial future. Whole life from New York Life can provide cash value growth and perman"
2026-01-27,Alteration,Upper Freehold,MONMOUTH,84981,0,"Given your recent home improvement project and alteration permit in Upper Freehold NJ, consider protecting your mortgage investment with a term life insurance policy from New York Life. A $250,000 ter"
2026-01-27,Alteration,Howell,MONMOUTH,84000,0,"Given your recent alteration permit for $84,000, consider adding mortgage protection and a whole life policy to secure your financial future and protect your family."
2026-01-28,Alteration,Beach Haven,OCEAN,6164987,1014,Targeted mortgage protection and whole life insurance can provide financial security for your home in Beach Haven NJ. Protect what you've built with New York Life's robust solutions.
2026-01-28,New,Lakewood,OCEAN,3000000,16474,"Lakewood homeowner, with your recent $3M home improvement, consider adding mortgage protection and whole life insurance to secure your financial goals and protect your family's future."
2026-01-30,Alteration,Toms River,OCEAN,1720907,0,"Targeted mortgage protection and whole life insurance from NYL can secure your family's financial future if the unexpected happens, while also providing a potential cash value growth of up to 3.25%* w"
2026-02-02,New,Mantoloking,OCEAN,1399000,216,"Mantoloking homeowner, with a new $1,399,000 home permit, consider mortgage protection and life insurance to secure your family's future. Our whole life policy can provide both liquidity and long-term"
2026-01-30,New,Stafford,OCEAN,962220,3649,"Targeted mortgage protection and comprehensive life insurance solutions can safeguard your family's financial future. With a new home value of $962,220 in Stafford NJ, consider Whole Life Insurance fr"
2026-01-30,Alteration,Jackson,OCEAN,630000,0,"Targeted mortgage protection and comprehensive life insurance solutions from New York Life can safeguard your family's financial future, while our Whole Life Insurance offers long-term growth alongsid"
2026-01-29,Alteration,Jackson,OCEAN,515000,0,"With a new home renovation project underway, consider mortgage protection and life insurance to safeguard your family's financial future, or explore whole life insurance for long-term wealth accumulat"
2026-01-29,Addition,Lakewood,OCEAN,502000,46407,"With a new addition on the horizon, consider mortgage protection and life insurance to secure your family's financial future, or explore whole life for long-term growth alongside protecting your home "
2026-02-02,Alteration,Mantoloking,OCEAN,475000,0,"Given your recent home improvement project and the value of your property ($475,000), it's crucial to protect what you've invested. Consider a mortgage protection term life insurance policy and a whol"
2026-01-29,New,Barnegat,OCEAN,408181,3619,"Targeted mortgage protection and whole life insurance from New York Life can secure your family's future if the unexpected happens, while also providing a potential cash value for long-term financial "
2026-01-29,New,Barnegat,OCEAN,408181,3665,"Protect your family's future with mortgage protection, life insurance, and whole life policies from New York Life. Secure a $408,181 policy to cover your home loan. Schedule a meeting to discuss optio"
2026-01-30,New,Toms River,OCEAN,402000,2591,"Toms River homeowner, securing mortgage protection with our term life insurance can save your family. Pair it with a Whole Life policy for long-term financial security and build cash value. Contact us"
2026-01-30,New,Toms River,OCEAN,402000,2591,Targeted mortgage protection with a term policy and leverage our whole life options for long-term coverage. Protect your family and home investment with New York Life.
2026-01-30,New,Toms River,OCEAN,402000,2591,Explore mortgage protection and life insurance to secure your family's future. Whole life from NYL can grow cash value and provide lifelong coverage. Protect your home and loved ones with a tailored p
2026-01-26,Addition,Stafford,OCEAN,365200,1271,"Stafford homeowner, securing your family's future with mortgage protection and whole life insurance from New York Life ensures you have the financial safety net needed for this major construction proj"
2026-01-28,New,Toms River,OCEAN,350000,1,"With your recent home improvement project valued at $350,000, mortgage protection and a robust life insurance plan can help ensure your family's financial security. Whole life insurance from New York "
2026-01-27,New,Lacey,OCEAN,336500,3105,"Targeted mortgage protection and life insurance from NYL can safeguard your family's financial future if the unexpected happens. Consider adding a $336,500 whole life policy to match your new home val"
2026-01-26,New,Toms River,OCEAN,314650,1742,"Targeted mortgage protection and whole life insurance from NYL can secure your family's future if the unexpected happens. Protect your home in Toms River NJ with a $314,650 policy today."
2026-01-26,Addition,Berkeley Twp,OCEAN,304000,406,"With a $304,000 addition underway, mortgage protection and term life insurance can safeguard your family's financial future. Consider Whole Life Insurance for long-term coverage and potential cash val"
2026-01-28,New,Manchester,OCEAN,253000,2464,"Targeted mortgage protection with a $253,000 term life policy, plus whole life for lasting wealth; both tailored to your new home in Manchester NJ. Schedule a call to review options."
2026-01-28,New,Manchester,OCEAN,253000,2464,Targeted mortgage protection and life insurance can shield your family from financial strain if the worst happens. Consider pairing a term policy with Whole Life for lasting coverage. Protect your hom
2026-01-30,New,Eagleswood,OCEAN,214000,4280,"Explore how mortgage protection and life insurance from NYL can secure your family's future if the unthinkable happens. Plus, consider adding whole life for cash value growth alongside your home renov"
